A,Element,Z,Mass,Source
1,n,0,1.00866491582,measured
1,H,1,1.00782503224,measured
2,H,1,2.0141017781099997,measured
3,H,1,3.01604928199,measured
3,He,2,3.01602932265,measured
3,Li,3,3.030775,estimated
4,H,1,4.026431868,measured
4,He,2,4.00260325413,measured
4,Li,3,4.027185562,measured
5,H,1,5.035311493,measured
5,He,2,5.012057223999999,measured
5,Li,3,5.0125378,measured
5,Be,4,5.03987,estimated
6,H,1,6.0449554370000005,measured
6,He,2,6.018885891,measured
6,Li,3,6.01512288742,measured
6,Be,4,6.019726409,measured
6,B,5,6.0508,estimated
7,H,1,7.052749,estimated
7,He,2,7.027990654,measured
7,Li,3,7.016003436660001,measured
7,Be,4,7.016928717,measured
7,B,5,7.029712,measured
8,He,2,8.033934389999999,measured
8,Li,3,8.022486246,measured
8,Be,4,8.005305102000001,measured
8,B,5,8.024607316,measured
8,C,6,8.037643042000001,measured
9,He,2,9.043946419,measured
9,Li,3,9.026790191,measured
9,Be,4,9.012183066,measured
9,B,5,9.013329649000001,measured
9,C,6,9.031037207,measured
10,He,2,10.052815308,measured
10,Li,3,10.035483453,measured
10,Be,4,10.013534695,measured
10,B,5,10.012936862,measured
10,C,6,10.016853218,measured
10,N,7,10.041653542999999,measured
11,Li,3,11.043723580999998,measured
11,Be,4,11.021661080999998,measured
11,B,5,11.009305165999999,measured
11,C,6,11.011432597,measured
11,N,7,11.026090945,measured
12,Li,3,12.052613940999999,measured
12,Be,4,12.026922082999999,measured
12,B,5,12.014352638,measured
12,C,6,12.0,measured
12,N,7,12.018613182,measured
12,O,8,12.034261747000002,measured
13,Li,3,13.061171502999999,measured
13,Be,4,13.036134507000002,measured
13,B,5,13.017779980999999,measured
13,C,6,13.00335483521,measured
13,N,7,13.005738609000002,measured
13,O,8,13.024815437,measured
14,Be,4,14.04289292,measured
14,B,5,14.025404012000001,measured
14,C,6,14.003241988429998,measured
14,N,7,14.003074004460002,measured
14,O,8,14.008596705999999,measured
14,F,9,14.034315199000002,measured
15,Be,4,15.053490215,measured
15,B,5,15.031087953,measured
15,C,6,15.010599255999999,measured
15,N,7,15.000108898939999,measured
15,O,8,15.003065617999999,measured
15,F,9,15.017785139,measured
15,Ne,10,15.04317298,measured
16,Be,4,16.061672035999997,measured
16,B,5,16.03984192,measured
16,C,6,16.014701256,measured
16,N,7,16.006101925,measured
16,O,8,15.9949146196,measured
16,F,9,16.011465723,measured
16,Ne,10,16.025750864,measured
17,B,5,17.046931399,measured
17,C,6,17.022578672,measured
17,N,7,17.008448877,measured
17,O,8,16.999131756639997,measured
17,F,9,17.002095238,measured
17,Ne,10,17.017713959,measured
17,Na,11,17.03776,measured
18,B,5,18.055601682,measured
18,C,6,18.026751932,measured
18,N,7,18.014077565,measured
18,O,8,17.99915961284,measured
18,F,9,18.000937325,measured
18,Ne,10,18.005708693,measured
18,Na,11,18.026879386,measured
19,B,5,19.064166,measured
19,C,6,19.034797596,measured
19,N,7,19.017022419,measured
19,O,8,19.00357797,measured
19,F,9,18.99840316288,measured
19,Ne,10,19.001880903,measured
19,Na,11,19.013880272,measured
19,Mg,12,19.034169182,measured
20,B,5,20.073484,estimated
20,C,6,20.040261732,measured
20,N,7,20.023367295000003,measured
20,O,8,20.004075357999998,measured
20,F,9,19.999981252,measured
20,Ne,10,19.99244017619,measured
20,Na,11,20.007354426,measured
20,Mg,12,20.018763075,measured
21,B,5,21.083017,estimated
21,C,6,21.049,estimated
21,N,7,21.027087573,measured
21,O,8,21.00865495,measured
21,F,9,20.999948894000003,measured
21,Ne,10,20.993846684999998,measured
21,Na,11,20.997654702,measured
21,Mg,12,21.011705764000002,measured
21,Al,13,21.028975,estimated
22,C,6,22.05755399,measured
22,N,7,22.034100918,measured
22,O,8,22.009965746,measured
22,F,9,22.002998809,measured
22,Ne,10,21.991385109,measured
22,Na,11,21.994437418,measured
22,Mg,12,21.999570654,measured
22,Al,13,22.01954,estimated
22,Si,14,22.03579,estimated
23,C,6,23.06889,estimated
23,N,7,23.039421,measured
23,O,8,23.015696686000002,measured
23,F,9,23.003526874000002,measured
23,Ne,10,22.9944669,measured
23,Na,11,22.98976928199,measured
23,Mg,12,22.994123940999998,measured
23,Al,13,23.007244351,measured
23,Si,14,23.02544,estimated
24,N,7,24.05039,estimated
24,O,8,24.019861,measured
24,F,9,24.00809937,measured
24,Ne,10,23.993610645,measured
24,Na,11,23.990963011,measured
