# Ionization energy in eV of H-like, He-like, and Li-like ions, retrieved from NIST Atomic Spectra Database Ionization Energies Form.
Element,Q,Ionization
H,0,13.59843449
He,0,24.58738880
He,1,54.4177650
Li,0,5.39171495
Li,1,75.6400964
Li,2,122.4543581
Be,1,18.21115
Be,2,153.896203
Be,3,217.7185843
B,2,37.93058
B,3,259.3715
B,4,340.226020
C,3,64.49352
C,4,392.090515
C,5,489.993194
N,4,97.8901
N,5,552.06732
N,6,667.046116
O,5,138.1189
O,6,739.32682
O,7,871.40988
F,6,185.1868
F,7,953.89804
F,8,1103.11747
Ne,7,239.0970
Ne,8,1195.80783
Ne,9,1362.19915
Na,8,299.856
Na,9,1465.13449
Na,10,1648.70218
Mg,9,367.489
Mg,10,1761.80487
Mg,11,1962.66365
Al,10,442.005
Al,11,2085.97700
Al,12,2304.14005
Si,11,523.415
Si,12,2437.65813
Si,13,2673.17753
P,12,611.741
P,13,2816.90876
P,14,3069.8415
S,13,706.994
S,14,3223.7807
S,15,3494.1879
Cl,14,809.198
Cl,15,3658.3437
Cl,16,3946.2909
Ar,15,918.375
Ar,16,4120.6656
Ar,17,4426.2228
K,16,1034.542
K,17,4610.87014
K,18,4934.0483
Ca,17,1157.726
Ca,18,5128.8578
Ca,19,5469.8615
Sc,18,1287.957
Sc,19,5674.9036
Sc,20,6033.7542
Ti,19,1425.257
Ti,20,6249.0225
Ti,21,6625.8073
V,20,1569.656
V,21,6851.3108
V,22,7246.1225
Cr,21,1721.183
Cr,22,7481.8627
Cr,23,7894.7992
Mn,22,1879.873
Mn,23,8140.7872
Mn,24,8571.9488
Fe,23,2045.759
Fe,24,8828.1878
Fe,25,9277.6817
Co,24,2218.876
Co,25,9544.1833
Co,26,10012.122
Ni,25,2399.259
Ni,26,10288.8861
Ni,27,10775.386
Cu,26,2586.954
Cu,27,11062.4312
Cu,28,11567.613
Zn,27,2781.996
Zn,28,11864.9398
Zn,29,12388.929
Ga,28,2984.426
Ga,29,12696.5573
Ga,30,13239.489
Ge,29,3194.293
Ge,30,13557.4207
Ge,31,14119.430
As,30,3411.643
As,31,14447.678
As,32,15028.907
Se,31,3636.526
Se,32,15367.491
Se,33,15968.083
Br,32,3868.986
Br,33,16317.011
Br,34,16937.127
Kr,33,4109.083
Kr,34,17296.420
Kr,35,17936.209
Rb,34,4356.865
Rb,35,18305.884
Rb,36,18965.516
Sr,35,4612.397
Sr,36,19345.588
Sr,37,20025.233
Y,36,4875.731
Y,37,20415.717
Y,38,21115.550
Zr,37,5146.935
Zr,38,21516.469
Zr,39,22236.677
Nb,38,5426.065
Nb,39,22648.046
Nb,40,23388.801
Mo,39,5713.194
Mo,40,23810.654
Mo,41,24572.155
Tc,40,6008.391
Tc,41,25004.533
Tc,42,25786.990
Ru,41,6311.721
Ru,42,26229.895
Ru,43,27033.502
Rh,42,6623.262
Rh,43,27486.983
Rh,44,28311.965
Pd,43,6943.096
Pd,44,28776.034
Pd,45,29622.60
Ag,44,7271.298
