A,Element,Z,HalfLife
1,n,0,613.9 s
1,H,1,stbl
2,H,1,stbl
3,H,1,12.32 y
3,He,2,stbl
3,Li,3,p-unst
4,H,1,139 ys
4,He,2,stbl
4,Li,3,91 ys
5,H,1,>910 ys
5,He,2,700 ys
5,Li,3,370 ys
5,Be,4,n/a
6,H,1,290 ys
6,He,2,806.92 ms
6,Li,3,stbl
6,Be,4,5.0 zs
6,B,5,p-unst
7,H,1,500 ys
7,He,2,2.51 zs
7,Li,3,stbl
7,Be,4,53.22 d
7,B,5,570 ys
8,He,2,119.1 ms
8,Li,3,839.40 ms
8,Be,4,81.9 as
8,B,5,770 ms
8,C,6,3.5 zs
9,He,2,2.5 zs
9,Li,3,178.3 ms
9,Be,4,stbl
9,B,5,800 zs
9,C,6,126.5 ms
10,He,2,3.1 zs
10,Li,3,2.0 zs
10,Be,4,1.51 My
10,B,5,stbl
10,C,6,19.3009 s
10,N,7,200 ys
11,Li,3,8.75 ms
11,Be,4,13.76 s
11,B,5,stbl
11,C,6,20.364 m
11,N,7,550 ys
12,Li,3,<10 ns
12,Be,4,21.50 ms
12,B,5,20.20 ms
12,C,6,stbl
12,N,7,11.000 ms
12,O,8,>6.3 zs
13,Li,3,3.3 zs
13,Be,4,1.0 zs
13,B,5,17.33 ms
13,C,6,stbl
13,N,7,9.965 m
13,O,8,8.58 ms
14,Be,4,4.35 ms
14,B,5,12.5 ms
14,C,6,5.70 ky
14,N,7,stbl
14,O,8,70.620 s
14,F,9,500 ys
15,Be,4,790 ys
15,B,5,9.93 ms
15,C,6,2.449 s
15,N,7,stbl
15,O,8,122.24 s
15,F,9,1.1 zs
15,Ne,10,770 ys
16,Be,4,650 ys
16,B,5,>4.6 zs
16,C,6,747 ms
16,N,7,7.13 s
16,O,8,stbl
16,F,9,11 zs
16,Ne,10,>5.7 zs
17,B,5,5.08 ms
17,C,6,193 ms
17,N,7,4.173 s
17,O,8,stbl
17,F,9,64.370 s
17,Ne,10,109.2 ms
17,Na,11,n/a
18,B,5,<26 ns
18,C,6,92 ms
18,N,7,619.2 ms
18,O,8,stbl
18,F,9,109.739 m
18,Ne,10,1664.20 ms
18,Na,11,1.3 zs
19,B,5,2.92 ms
19,C,6,46.2 ms
19,N,7,336 ms
19,O,8,26.470 s
19,F,9,stbl
19,Ne,10,17.274 s
19,Na,11,>1 as
19,Mg,12,5 ps
20,B,5,n/a
20,C,6,16 ms
20,N,7,136 ms
20,O,8,13.51 s
20,F,9,11.163 s
20,Ne,10,stbl
20,Na,11,447.9 ms
20,Mg,12,93 ms
21,B,5,<260ns
21,C,6,<30ns
21,N,7,84 ms
21,O,8,3.42 s
21,F,9,4.158 s
21,Ne,10,stbl
21,Na,11,22.422 s
21,Mg,12,118.6 ms
21,Al,13,<35ns
22,C,6,6.2 ms
22,N,7,23 ms
22,O,8,2.25 s
22,F,9,4.23 s
22,Ne,10,stbl
22,Na,11,2.6018 y
22,Mg,12,3.8755 s
22,Al,13,91.1 ms
22,Si,14,29 ms
23,C,6,n/a
23,N,7,13.9 ms
23,O,8,97 ms
23,F,9,2.23 s
23,Ne,10,37.140 s
23,Na,11,stbl
23,Mg,12,11.317 s
23,Al,13,470 ms
23,Si,14,42.3 ms
24,N,7,<52ns
24,O,8,77.4 ms
24,F,9,384 ms
24,Ne,10,3.38 m
24,Na,11,14.957 h
24,Mg,12,stbl
24,Al,13,2.053 s
24,Si,14,140 ms
24,P,15,n/a
25,N,7,<260ns
25,O,8,5.18 zs
25,F,9,80 ms
25,Ne,10,602 ms
25,Na,11,59.1 s
25,Mg,12,stbl
25,Al,13,7.183 s
25,Si,14,220 ms
25,P,15,<30ns
26,O,8,4.2 ps
26,F,9,8.2 ms
26,Ne,10,197 ms
26,Na,11,1071.28 ms
26,Mg,12,stbl
26,Al,13,717 ky
26,Si,14,2.2453 s
26,P,15,43.7 ms
26,S,16,<79ns
27,O,8,<260ns
27,F,9,4.9 ms
27,Ne,10,31.5 ms
27,Na,11,301 ms
27,Mg,12,9.435 m
27,Al,13,stbl
27,Si,14,4.15 s
27,P,15,260 ms
27,S,16,15.5 ms
28,O,8,<100ns
28,F,9,46 zs
28,Ne,10,20 ms
28,Na,11,30.5 ms
28,Mg,12,20.915 h
28,Al,13,2.245 m
28,Si,14,stbl
28,P,15,270.3 ms
28,S,16,125 ms
28,Cl,17,n/a
29,F,9,2.5 ms
29,Ne,10,14.7 ms
29,Na,11,44.1 ms
29,Mg,12,1.30 s
29,Al,13,6.56 m
29,Si,14,stbl
29,P,15,4.142 s
29,S,16,188 ms
29,Cl,17,<10ps
30,F,9,<260ns
30,Ne,10,7.22 ms
30,Na,11,48.4 ms
30,Mg,12,313 ms
30,Al,13,3.62 s
30,Si,14,stbl
30,P,15,2.498 m
30,S,16,1.1759 s
30,Cl,17,<30ns
30,Ar,18,<10ps
31,F,9,1 ms
31,Ne,10,3.4 ms
31,Na,11,17.35 ms
31,Mg,12,236 ms
31,Al,13,644 ms
31,Si,14,157.36 m
31,P,15,stbl
31,S,16,2.5534 s
31,Cl,17,190 ms
31,Ar,18,15.1 ms
32,Ne,10,3.5 ms
32,Na,11,12.9 ms
32,Mg,12,86 ms
32,Al,13,33.0 ms
32,Si,14,153 y
32,P,15,14.268 d
32,S,16,stbl
32,Cl,17,298 ms
32,Ar,18,98 ms
32,K,19,n/a
33,Ne,10,<260ns
33,Na,11,8.2 ms
33,Mg,12,90.5 ms
33,Al,13,41.7 ms
33,Si,14,6.18 s
33,P,15,25.35 d
33,S,16,stbl
33,Cl,17,2.5038 s
33,Ar,18,173.0 ms
33,K,19,<25ns
34,Ne,10,1 ms
34,Na,11,5.5 ms
34,Mg,12,20 ms
34,Al,13,56.3 ms
34,Si,14,2.77 s
34,P,15,12.43 s
34,S,16,stbl
34,Cl,17,1.5266 s
34,Ar,18,843.8 ms
34,K,19,<40ns
34,Ca,20,<35ns
35,Na,11,1.5 ms
35,Mg,12,70 ms
35,Al,13,37.2 ms
35,Si,14,780 ms
35,P,15,47.3 s
35,S,16,87.37 d
35,Cl,17,stbl
35,Ar,18,1.7756 s
35,K,19,178 ms
35,Ca,20,25.7 ms
36,Na,11,<180ns
36,Mg,12,3.9 ms
36,Al,13,90 ms
36,Si,14,450 ms
36,P,15,5.6 s
36,S,16,stbl
36,Cl,17,301.3 ky
36,Ar,18,stbl
36,K,19,341 ms
36,Ca,20,101.2 ms
36,Sc,21,n/a
37,Na,11,1 ms
37,Mg,12,8 ms
37,Al,13,11.5 ms
37,Si,14,90 ms
37,P,15,2.31 s
37,S,16,5.05 m
37,Cl,17,stbl
37,Ar,18,35.011 d
37,K,19,1.2365 s
37,Ca,20,181.1 ms
37,Sc,21,n/a
38,Mg,12,1 ms
38,Al,13,9.0 ms
38,Si,14,90 ms
38,P,15,640 ms
38,S,16,170.3 m
38,Cl,17,37.24 m
38,Ar,18,stbl
38,K,19,7.636 m
38,Ca,20,443.70 ms
38,Sc,21,<300ns
38,Ti,22,<120ns
39,Mg,12,<180ns
39,Al,13,7.6 ms
39,Si,14,47.5 ms
39,P,15,282 ms
39,S,16,11.5 s
39,Cl,17,56.2 m
39,Ar,18,269 y
39,K,19,stbl
39,Ca,20,860.3 ms
39,Sc,21,<300 ns
39,Ti,22,28.5 ms
40,Mg,12,1 ms
40,Al,13,10 ms
40,Si,14,33.0 ms
40,P,15,150 ms
40,S,16,8.8 s
40,Cl,17,1.35 m
40,Ar,18,stbl
40,K,19,1.248 Gy
40,Ca,20,stbl
40,Sc,21,182.3 ms
40,Ti,22,52.4 ms
40,V,23,n/a
41,Al,13,2 ms
41,Si,14,20.0 ms
41,P,15,101 ms
41,S,16,1.99 s
41,Cl,17,38.4 s
41,Ar,18,109.61 m
41,K,19,stbl
41,Ca,20,99.4 ky
41,Sc,21,596.3 ms
41,Ti,22,81.9 ms
